dx_bin,dy_bin,cnt,bin_p,pass_p,t
"(-10, 0]","(-40, -30]",0.0,0.0,0.0,1
"(-10, 0]","(-30, -20]",0.0,0.0,0.0,1
"(-10, 0]","(-20, -10]",1.0,0.004739336492890996,4.739336492890996e-05,1
"(-10, 0]","(-10, 0]",40.0,0.1895734597156398,0.001895734597156398,1
"(-10, 0]","(0, 10]",38.0,0.18009478672985782,0.0018009478672985782,1
"(-10, 0]","(10, 20]",11.0,0.052132701421800945,0.0005213270142180094,1
"(-10, 0]","(20, 30]",0.0,0.0,0.0,1
"(-10, 0]","(30, 40]",0.0,0.0,0.0,1
"(0, 10]","(-40, -30]",0.0,0.0,0.0,1
"(0, 10]","(-30, -20]",0.0,0.0,0.0,1
"(0, 10]","(-20, -10]",21.0,0.0995260663507109,0.000995260663507109,1
"(0, 10]","(-10, 0]",18.0,0.08530805687203792,0.0008530805687203793,1
"(0, 10]","(0, 10]",26.0,0.12322274881516587,0.0012322274881516587,1
"(0, 10]","(10, 20]",52.0,0.24644549763033174,0.0024644549763033173,1
"(0, 10]","(20, 30]",2.0,0.009478672985781991,9.478672985781992e-05,1
"(0, 10]","(30, 40]",0.0,0.0,0.0,1
"(10, 20]","(-40, -30]",0.0,0.0,0.0,1
"(10, 20]","(-30, -20]",0.0,0.0,0.0,1
"(10, 20]","(-20, -10]",0.0,0.0,0.0,1
"(10, 20]","(-10, 0]",0.0,0.0,0.0,1
"(10, 20]","(0, 10]",0.0,0.0,0.0,1
"(10, 20]","(10, 20]",2.0,0.009478672985781991,9.478672985781992e-05,1
"(10, 20]","(20, 30]",0.0,0.0,0.0,1
"(10, 20]","(30, 40]",0.0,0.0,0.0,1
"(20, 30]","(-40, -30]",0.0,0.0,0.0,1
"(20, 30]","(-30, -20]",0.0,0.0,0.0,1
"(20, 30]","(-20, -10]",0.0,0.0,0.0,1
"(20, 30]","(-10, 0]",0.0,0.0,0.0,1
"(20, 30]","(0, 10]",0.0,0.0,0.0,1
"(20, 30]","(10, 20]",0.0,0.0,0.0,1
"(20, 30]","(20, 30]",0.0,0.0,0.0,1
"(20, 30]","(30, 40]",0.0,0.0,0.0,1
"(30, 40]","(-40, -30]",0.0,0.0,0.0,1
"(30, 40]","(-30, -20]",0.0,0.0,0.0,1
"(30, 40]","(-20, -10]",0.0,0.0,0.0,1
"(30, 40]","(-10, 0]",0.0,0.0,0.0,1
"(30, 40]","(0, 10]",0.0,0.0,0.0,1
"(30, 40]","(10, 20]",0.0,0.0,0.0,1
"(30, 40]","(20, 30]",0.0,0.0,0.0,1
"(30, 40]","(30, 40]",0.0,0.0,0.0,1
"(40, 50]","(-40, -30]",0.0,0.0,0.0,1
"(40, 50]","(-30, -20]",0.0,0.0,0.0,1
"(40, 50]","(-20, -10]",0.0,0.0,0.0,1
"(40, 50]","(-10, 0]",0.0,0.0,0.0,1
"(40, 50]","(0, 10]",0.0,0.0,0.0,1
"(40, 50]","(10, 20]",0.0,0.0,0.0,1
"(40, 50]","(20, 30]",0.0,0.0,0.0,1
"(40, 50]","(30, 40]",0.0,0.0,0.0,1
